Nose_x,Nose_y,Nose_c,LEye_x,LEye_y,LEye_c,REye_x,REye_y,REye_c,LEar_x,LEar_y,LEar_c,REar_x,REar_y,REar_c,LShoulder_x,LShoulder_y,LShoulder_c,RShoulder_x,RShoulder_y,RShoulder_c,LElbow_x,LElbow_y,LElbow_c,RElbow_x,RElbow_y,RElbow_c,LWrist_x,LWrist_y,LWrist_c,RWrist_x,RWrist_y,RWrist_c,LHip_x,LHip_y,LHip_c,RHip_x,RHip_y,RHip_c,LKnee_x,LKnee_y,LKnee_c,RKnee_x,RKnee_y,RKnee_c,LAnkle_x,LAnkle_y,LAnkle_c,RAnkle_x,RAnkle_y,RAnkle_c
381.673,27.9069,0.779744,0.0,0.0,0.0,376.406,16.2274,0.809974,0.0,0.0,0.0,347.661,20.0676,0.882283,317.67,81.407,0.674147,367.231,59.223,0.671262,0.0,0.0,0.0,414.262,53.9929,0.782322,0.0,0.0,0.0,381.563,35.7212,0.376279,364.639,230.198,0.386066,350.28,232.799,0.450094,380.25,335.924,0.66316,335.921,330.695,0.631065,369.875,423.402,0.716549,247.204,418.14,0.629187
381.649,26.6557,0.778864,0.0,0.0,0.0,375.109,16.2335,0.82112,0.0,0.0,0.0,347.664,21.371,0.878421,318.923,81.4198,0.657872,365.928,59.2458,0.660966,0.0,0.0,0.0,414.249,54.0085,0.774752,0.0,0.0,0.0,381.566,37.0198,0.426111,365.963,228.896,0.367705,350.315,230.216,0.436269,380.27,332.005,0.666723,335.938,330.702,0.614515,369.895,423.407,0.71634,248.497,414.235,0.626535
381.662,27.9348,0.777441,0.0,0.0,0.0,376.405,17.4788,0.800852,0.0,0.0,0.0,347.664,21.3978,0.871534,318.915,82.736,0.661249,367.236,59.2323,0.665117,0.0,0.0,0.0,412.992,51.4015,0.790007,0.0,0.0,0.0,381.578,37.05,0.38523,367.255,231.516,0.377447,351.597,232.816,0.460728,380.281,334.612,0.696299,335.946,329.415,0.64126,369.88,423.397,0.735658,245.926,414.259,0.640832
381.64,27.9422,0.78303,381.651,17.5495,0.0533375,375.109,17.5048,0.802908,0.0,0.0,0.0,347.642,21.3806,0.860144,318.959,82.7306,0.64366,364.65,59.215,0.688749,0.0,0.0,0.0,412.964,50.1034,0.811213,0.0,0.0,0.0,381.589,35.7708,0.385068,368.544,228.91,0.384297,352.897,230.222,0.449162,380.279,332.033,0.674023,334.615,329.403,0.614198,369.878,423.345,0.724562,245.878,414.258,0.659294
381.637,27.9029,0.803256,381.641,17.5339,0.0625835,375.085,17.4969,0.806121,0.0,0.0,0.0,346.349,22.6585,0.85862,318.953,84.0183,0.648716,362.076,57.9859,0.702125,0.0,0.0,0.0,412.914,50.1145,0.819321,0.0,0.0,0.0,381.585,35.7463,0.308009,367.242,224.985,0.367361,352.893,225.003,0.420292,380.244,330.699,0.667613,333.307,328.121,0.607799,369.881,423.36,0.721039,245.829,416.861,0.651464
381.605,27.9108,0.81426,381.579,17.5446,0.0648032,373.803,17.5116,0.809339,0.0,0.0,0.0,343.746,22.702,0.853363,318.92,85.317,0.649634,362.026,57.9632,0.714437,0.0,0.0,0.0,411.658,50.1157,0.821402,0.0,0.0,0.0,381.593,35.7686,0.312732,368.536,231.527,0.38248,351.608,232.829,0.442644,380.251,330.73,0.688321,333.336,329.392,0.624423,369.886,423.344,0.723804,245.862,415.536,0.650408
380.338,27.9278,0.806348,380.288,18.8046,0.0616201,372.489,18.7599,0.849355,0.0,0.0,0.0,341.186,25.2283,0.904789,317.718,86.6361,0.67585,362.066,57.9655,0.703885,0.0,0.0,0.0,411.645,50.0853,0.823089,0.0,0.0,0.0,380.287,37.0701,0.318196,368.538,226.3,0.371787,354.22,227.61,0.414467,378.999,330.725,0.641485,334.634,328.131,0.594739,369.865,423.386,0.721346,245.888,416.862,0.647176
380.294,27.8962,0.789046,0.0,0.0,0.0,371.215,17.5115,0.866518,0.0,0.0,0.0,339.907,25.2669,0.946694,317.657,87.8861,0.693012,364.665,57.9612,0.719109,0.0,0.0,0.0,411.63,50.0947,0.825955,0.0,0.0,0.0,380.26,37.0428,0.309641,367.238,226.286,0.358303,355.492,227.604,0.405765,380.244,332.006,0.656668,334.643,329.417,0.602774,369.856,422.106,0.734031,245.924,416.846,0.641197
378.988,27.9406,0.778461,0.0,0.0,0.0,371.145,20.0577,0.852593,0.0,0.0,0.0,339.865,25.2637,0.953529,317.674,87.8964,0.662607,362.073,59.2326,0.706101,0.0,0.0,0.0,411.576,52.6936,0.814702,0.0,0.0,0.0,380.244,37.0463,0.279166,368.538,230.216,0.372873,354.189,232.813,0.41831,380.25,330.735,0.660553,335.926,329.442,0.614764,369.859,422.097,0.745331,245.922,415.556,0.647582
375.1,29.196,0.742278,0.0,0.0,0.0,369.875,20.0642,0.832446,0.0,0.0,0.0,339.813,25.2798,0.952934,317.604,87.9292,0.660438,362.024,57.9673,0.708484,0.0,0.0,0.0,410.349,53.9932,0.819496,0.0,0.0,0.0,376.378,38.3478,0.331198,367.25,226.316,0.343509,355.502,228.901,0.405309,379.004,329.442,0.646987,335.923,329.376,0.590295,369.845,422.089,0.744011,247.159,412.988,0.658569
373.807,30.5119,0.756438,0.0,0.0,0.0,369.83,21.3797,0.827326,0.0,0.0,0.0,338.572,25.2966,0.940897,316.315,87.9836,0.657717,362.052,60.5217,0.666887,0.0,0.0,0.0,409.016,51.4286,0.777527,0.0,0.0,0.0,373.773,40.9497,0.385699,364.659,224.983,0.358272,355.506,226.294,0.395147,378.982,329.389,0.640274,335.911,328.1,0.595488,369.843,422.092,0.742823,245.93,414.278,0.653772
372.53,30.5145,0.785715,0.0,0.0,0.0,368.552,20.1014,0.815528,0.0,0.0,0.0,338.521,25.3128,0.936981,317.605,87.9311,0.643171,360.697,60.535,0.64164,0.0,0.0,0.0,405.117,54.0063,0.770515,0.0,0.0,0.0,372.505,40.987,0.331804,365.954,226.287,0.36803,355.497,227.597,0.39992,378.975,329.441,0.624356,335.912,328.129,0.600317,369.843,422.097,0.725147,245.928,414.27,0.658254
372.501,29.204,0.805715,0.0,0.0,0.0,367.249,20.0663,0.79043,0.0,0.0,0.0,338.488,25.3142,0.933509,316.323,87.9375,0.618323,358.137,60.5657,0.614626,0.0,0.0,0.0,403.828,53.997,0.767828,0.0,0.0,0.0,373.791,39.6736,0.225541,363.359,223.701,0.361446,354.22,226.289,0.382841,377.71,329.392,0.61298,335.923,328.099,0.585017,369.827,422.088,0.741466,245.923,414.281,0.642733
