Nose_x,Nose_y,Nose_c,LEye_x,LEye_y,LEye_c,REye_x,REye_y,REye_c,LEar_x,LEar_y,LEar_c,REar_x,REar_y,REar_c,LShoulder_x,LShoulder_y,LShoulder_c,RShoulder_x,RShoulder_y,RShoulder_c,LElbow_x,LElbow_y,LElbow_c,RElbow_x,RElbow_y,RElbow_c,LWrist_x,LWrist_y,LWrist_c,RWrist_x,RWrist_y,RWrist_c,LHip_x,LHip_y,LHip_c,RHip_x,RHip_y,RHip_c,LKnee_x,LKnee_y,LKnee_c,RKnee_x,RKnee_y,RKnee_c,LAnkle_x,LAnkle_y,LAnkle_c,RAnkle_x,RAnkle_y,RAnkle_c
314.284,45.2529,0.915325,328.363,35.8511,0.888165,309.556,35.857,0.907943,337.917,47.5833,0.899023,295.408,45.3679,0.900113,354.478,104.404,0.891217,274.296,104.418,0.925415,352.173,160.971,0.867624,276.663,161.063,0.868414,342.643,210.538,0.842055,309.557,210.471,0.883237,340.277,236.411,0.791985,290.642,236.427,0.815524,342.676,330.816,0.857783,276.61,330.756,0.885085,345.023,415.783,0.783522,274.152,411.059,0.877567
314.282,45.2399,0.910786,328.356,33.5796,0.887837,309.555,33.5957,0.907353,337.936,45.4303,0.906079,295.412,45.3658,0.891395,356.763,104.405,0.887762,274.303,104.404,0.92564,352.173,160.991,0.865318,276.644,161.025,0.875005,342.641,210.524,0.841376,309.537,208.182,0.884245,340.304,236.404,0.795534,290.645,236.428,0.817862,344.918,330.814,0.862269,276.603,330.757,0.889773,344.992,413.467,0.783248,274.131,411.039,0.876571
312.11,45.2352,0.914426,326.172,33.563,0.886512,309.541,33.5849,0.906986,337.925,45.4089,0.909172,295.418,45.3548,0.876706,354.479,104.407,0.88758,274.295,104.419,0.925312,352.181,161.002,0.862216,276.661,161.051,0.87129,342.622,210.535,0.839938,309.538,208.171,0.877472,340.294,236.402,0.791616,290.645,236.406,0.817491,344.924,330.838,0.866117,276.611,330.751,0.891409,345.032,418.089,0.79072,274.143,411.073,0.878283
314.281,45.2204,0.910393,328.352,33.5433,0.88978,309.557,33.564,0.912175,337.926,45.3895,0.895287,295.426,45.3339,0.872455,356.767,104.394,0.88564,274.332,104.385,0.921515,354.412,161.009,0.855565,276.637,161.01,0.878661,342.619,210.539,0.838401,309.512,208.154,0.876839,340.29,234.188,0.790664,290.652,234.178,0.81522,344.929,330.819,0.866545,276.602,330.769,0.888442,345.032,418.128,0.79285,274.129,411.08,0.871689
314.292,45.2256,0.906104,328.359,33.5443,0.891537,309.564,33.5822,0.910195,337.957,45.3903,0.907389,295.431,45.352,0.87894,354.504,104.376,0.88585,274.333,104.38,0.922557,354.429,160.986,0.85764,276.643,161.025,0.876532,340.319,212.767,0.836749,309.523,208.171,0.876026,340.27,236.4,0.793302,290.641,236.42,0.812648,344.912,330.808,0.865577,276.608,330.774,0.890078,345.014,415.767,0.787297,274.117,413.393,0.879064
314.284,45.2213,0.905856,328.352,33.5321,0.890973,309.557,33.5749,0.911791,337.958,45.3769,0.913377,295.433,45.3332,0.876238,356.762,104.374,0.885148,274.34,104.382,0.923451,354.439,160.989,0.860584,276.644,161.048,0.87196,340.299,212.781,0.845443,309.526,210.458,0.871606,340.287,234.171,0.79236,290.66,234.177,0.818148,344.925,330.801,0.862043,276.568,328.557,0.896816,345.006,415.811,0.787346,274.126,411.122,0.877674
314.29,45.2127,0.902593,328.357,33.5151,0.893774,309.559,33.5736,0.912686,337.967,45.3681,0.91482,295.443,45.3465,0.87373,356.811,104.385,0.880952,276.538,104.382,0.916129,354.456,160.991,0.858325,276.633,161.037,0.874249,340.293,212.805,0.845693,309.494,210.465,0.86745,340.279,234.164,0.787987,290.649,234.159,0.814591,342.684,330.809,0.856124,276.579,328.561,0.892213,345.016,415.802,0.785385,274.122,411.084,0.876873
314.293,45.2131,0.899846,328.355,33.5159,0.892145,309.557,33.586,0.910342,340.232,45.3721,0.924315,295.446,45.3634,0.876959,356.799,104.394,0.87937,274.343,104.37,0.919405,354.461,161.01,0.851375,276.644,161.038,0.869542,340.306,212.805,0.840808,309.5,210.534,0.883297,340.255,234.17,0.785363,290.641,234.169,0.810294,342.687,330.772,0.863144,276.632,328.559,0.880693,345.031,413.446,0.79071,274.147,411.049,0.878583
314.308,45.2053,0.890998,328.365,33.5044,0.890848,309.571,33.5787,0.910412,340.235,45.3595,0.925867,295.448,45.3537,0.895661,356.804,104.414,0.874853,274.328,104.379,0.919914,354.446,161.031,0.850138,276.641,161.055,0.862211,342.58,212.816,0.852907,309.501,212.784,0.884338,340.271,234.172,0.786199,290.651,234.171,0.812294,344.925,330.798,0.861139,276.601,328.549,0.885981,345.003,415.761,0.788126,274.12,411.093,0.876465
314.329,45.1956,0.889122,328.379,31.276,0.896615,309.585,33.567,0.916258,340.25,45.3501,0.920443,295.46,45.3447,0.900591,356.796,104.387,0.883891,274.348,104.383,0.916228,354.462,160.98,0.862751,276.637,161.048,0.861583,342.597,212.809,0.858968,307.256,212.779,0.876519,340.305,234.182,0.785588,290.653,236.387,0.812444,344.927,330.787,0.867208,276.627,328.559,0.881222,345.016,415.771,0.79045,274.137,411.088,0.873624
