Nose_x,Nose_y,Nose_c,Neck_x,Neck_y,Neck_c,RShoulder_x,RShoulder_y,RShoulder_c,RElbow_x,RElbow_y,RElbow_c,RWrist_x,RWrist_y,RWrist_c,LShoulder_x,LShoulder_y,LShoulder_c,LElbow_x,LElbow_y,LElbow_c,LWrist_x,LWrist_y,LWrist_c,MidHip_x,MidHip_y,MidHip_c,RHip_x,RHip_y,RHip_c,RKnee_x,RKnee_y,RKnee_c,RAnkle_x,RAnkle_y,RAnkle_c,LHip_x,LHip_y,LHip_c,LKnee_x,LKnee_y,LKnee_c,LAnkle_x,LAnkle_y,LAnkle_c,REye_x,REye_y,REye_c,LEye_x,LEye_y,LEye_c,REar_x,REar_y,REar_c,LEar_x,LEar_y,LEar_c,LBigToe_x,LBigToe_y,LBigToe_c,LSmallToe_x,LSmallToe_y,LSmallToe_c,LHeel_x,LHeel_y,LHeel_c,RBigToe_x,RBigToe_y,RBigToe_c,RSmallToe_x,RSmallToe_y,RSmallToe_c,RHeel_x,RHeel_y,RHeel_c
292.147,309.667,0.138474,206.607,294.687,0.694969,191.552,317.288,0.710997,196.587,437.987,0.745477,231.813,520.865,0.86727,214.223,272.064,0.508499,226.706,395.183,0.417702,231.732,490.708,0.427286,126.22,453.064,0.689571,106.087,455.545,0.666997,148.921,611.305,0.782232,146.234,792.334,0.7616,146.356,452.983,0.619995,173.951,573.797,0.780049,189.069,696.908,0.812822,297.161,294.64,0.164073,0.0,0.0,0.0,272.096,274.538,0.612661,0.0,0.0,0.0,251.998,696.93,0.788673,249.36,691.931,0.769559,176.454,717.091,0.756851,209.225,812.397,0.775739,189.125,815.065,0.788993,128.722,804.999,0.725427
297.155,309.71,0.126245,206.607,294.686,0.692686,191.55,317.295,0.707222,196.625,440.457,0.741296,231.817,520.867,0.86722,214.227,272.059,0.507533,226.697,395.168,0.411864,231.732,490.667,0.419298,126.195,453.057,0.689778,106.075,455.536,0.6692,151.242,608.924,0.783966,146.253,792.32,0.757915,146.322,452.978,0.618738,173.972,573.787,0.780667,189.055,696.907,0.80994,304.667,292.154,0.159255,0.0,0.0,0.0,272.09,272.135,0.62358,0.0,0.0,0.0,251.988,696.947,0.789631,249.353,691.944,0.769091,174.058,717.079,0.755528,209.232,812.406,0.76971,191.495,815.07,0.780475,128.726,804.975,0.715533
299.667,309.771,0.112879,206.614,294.669,0.690378,191.536,317.252,0.712781,196.563,435.437,0.752253,231.806,518.373,0.872634,214.229,272.054,0.501795,229.147,395.25,0.471018,231.781,493.187,0.472511,126.199,453.029,0.688284,106.082,453.121,0.672741,151.327,608.836,0.783739,146.249,792.324,0.755853,146.324,452.963,0.612362,173.924,576.238,0.757795,189.064,699.406,0.797853,307.188,292.171,0.149077,0.0,0.0,0.0,272.129,274.542,0.590678,0.0,0.0,0.0,251.909,696.923,0.801683,249.284,691.939,0.771734,176.467,721.999,0.723887,211.607,812.412,0.769245,191.518,815.074,0.780408,128.715,804.961,0.696176
299.658,309.726,0.116339,206.638,294.657,0.703198,191.537,314.819,0.723116,196.627,435.498,0.743137,231.832,518.361,0.879786,216.673,272.066,0.506017,229.165,392.646,0.497668,231.782,490.774,0.482613,126.236,453.035,0.695128,108.521,455.51,0.683037,151.373,608.879,0.775821,146.258,792.31,0.762205,146.306,452.961,0.616137,171.574,576.235,0.74908,189.086,699.392,0.807776,307.143,292.128,0.142479,0.0,0.0,0.0,274.495,274.515,0.575764,0.0,0.0,0.0,251.874,696.866,0.814003,246.883,691.909,0.780342,176.492,719.516,0.744216,209.239,812.408,0.779657,191.511,815.064,0.785647,128.712,802.536,0.696516
297.176,309.717,0.12464,206.657,292.231,0.71591,191.502,314.729,0.733354,199.13,435.399,0.739607,231.822,515.951,0.885112,216.705,272.04,0.513994,226.766,390.166,0.469254,231.781,488.196,0.421725,128.596,453.004,0.69802,108.537,453.114,0.686794,151.369,608.883,0.767668,146.291,792.323,0.761555,146.302,450.55,0.617804,171.583,573.772,0.780438,189.035,699.405,0.802455,304.709,292.161,0.150279,0.0,0.0,0.0,274.503,272.134,0.584655,0.0,0.0,0.0,249.478,696.846,0.807115,246.805,691.886,0.759569,176.455,719.539,0.733035,209.234,812.408,0.778141,191.521,815.058,0.780954,128.737,804.973,0.688989
302.183,297.197,0.167118,209.057,292.155,0.738621,191.528,312.307,0.743975,196.633,432.94,0.768048,231.847,515.94,0.88472,219.261,271.967,0.524712,226.759,387.595,0.454902,231.817,488.192,0.395675,126.244,450.56,0.695691,108.517,452.991,0.689357,151.354,606.386,0.766764,146.293,792.315,0.760351,146.334,450.489,0.618994,171.558,573.82,0.78674,189.055,701.894,0.794779,307.191,277.059,0.194543,0.0,0.0,0.0,274.517,269.398,0.553822,0.0,0.0,0.0,251.841,696.859,0.805323,246.833,691.9,0.761869,176.517,722.055,0.73067,211.609,812.432,0.777383,191.546,815.07,0.778533,128.74,804.959,0.698495
307.182,297.158,0.141309,209.041,292.158,0.735934,191.559,314.789,0.729701,199.141,433.002,0.758297,231.861,515.956,0.883248,216.752,269.484,0.530724,229.184,385.119,0.474798,231.848,488.217,0.369629,128.658,453.046,0.691547,108.581,455.52,0.678108,151.368,608.837,0.787127,146.285,792.304,0.755606,148.754,452.968,0.610359,171.543,581.209,0.755572,189.001,701.939,0.785415,309.641,277.041,0.174211,0.0,0.0,0.0,274.517,269.512,0.565167,0.0,0.0,0.0,249.465,696.928,0.782802,244.387,691.943,0.73394,176.454,724.505,0.715292,211.617,812.412,0.774871,191.56,815.054,0.777214,128.732,804.955,0.697605
307.22,297.188,0.141712,209.038,292.161,0.730514,191.585,314.799,0.728221,201.611,435.397,0.753646,231.862,515.959,0.883543,216.727,269.475,0.526101,229.184,385.102,0.456507,231.857,488.174,0.333093,128.652,453.047,0.690798,108.582,455.529,0.67741,151.365,606.424,0.782569,146.286,789.95,0.75279,148.743,452.963,0.609054,171.545,578.773,0.75918,189.003,701.937,0.78537,309.66,277.08,0.178711,0.0,0.0,0.0,274.485,269.52,0.584235,0.0,0.0,0.0,249.47,696.928,0.781281,244.392,691.943,0.733686,176.456,724.501,0.713453,211.614,812.414,0.774981,191.554,815.053,0.777315,128.729,804.952,0.694284
307.218,297.185,0.1807,209.064,292.161,0.728881,191.551,314.749,0.731218,204.098,435.412,0.742008,231.875,515.926,0.881918,219.234,269.54,0.515371,229.197,380.126,0.458476,231.804,485.689,0.275671,128.721,453.011,0.699115,108.613,453.1,0.683232,151.395,608.86,0.792272,146.252,789.918,0.748342,148.846,450.58,0.615068,171.533,581.287,0.74272,189.013,706.984,0.792275,309.686,277.033,0.228715,0.0,0.0,0.0,272.067,269.428,0.614816,0.0,0.0,0.0,251.851,701.909,0.771771,246.86,694.434,0.758175,176.499,729.543,0.71615,211.631,812.421,0.776182,191.555,815.06,0.777316,128.705,802.515,0.710473
309.7,297.168,0.182966,209.071,292.175,0.715614,191.57,312.338,0.725178,204.094,435.445,0.733429,231.889,515.899,0.879848,219.235,269.557,0.506465,226.809,382.618,0.410799,231.907,488.203,0.287527,131.149,453.05,0.686968,111.058,455.536,0.670154,151.383,608.932,0.797648,146.259,789.912,0.74824,151.29,452.965,0.607078,171.515,586.266,0.728415,188.958,709.389,0.797481,309.726,277.044,0.232813,0.0,0.0,0.0,272.061,269.43,0.651176,0.0,0.0,0.0,251.859,704.406,0.785848,246.864,694.481,0.773052,174.065,729.503,0.734866,211.662,812.45,0.77712,191.581,815.087,0.777196,128.688,802.503,0.721848
